タスク名,備考,工事期間,状態,終了日,開始日
クリーニング,,,進行中,,2025年5月29日
引き渡し,,,進行中,,2025年5月30日
解体工事,,2,進行中,2025年5月3日,2025年5月2日 → 2025年5月3日
床工事,,5,進行中,2025年5月9日,2025年5月5日 → 2025年5月9日
休業（日曜）,,1,休業,2025年5月4日,2025年5月4日
休業（日曜）,,1,休業,2025年5月11日,2025年5月11日
木工事,,6,進行中,2025年5月17日,2025年5月12日 → 2025年5月17日
休業（土）,,1,休業,2025年5月10日,2025年5月10日
電気工事,,4,進行中,2025年5月22日,2025年5月19日 → 2025年5月22日
休業（日曜）,,1,休業,2025年5月18日,2025年5月18日
休業（日曜）,,1,休業,2025年5月25日,2025年5月25日
クロス工事,,6,進行中,2025年5月28日,2025年5月23日 → 2025年5月24日
クロス工事,,6,進行中,2025年5月28日,2025年5月26日 → 2025年5月28日
