収支区分,管理番号,発生日,支払期日,取引先,勘定科目,税区分,金額,税計算区分,税額,備考,品目,部門,メモタグ（複数指定可、カンマ区切り）,支払日,支払口座,支払金額
支出,,2025/07/06,,,支払手数料,課対仕入（控80）10%,110,内税,8,"",,,,2025/07/06,みずほ（法人）（API）,110
支出,,2025/07/02,,,支払手数料,課対仕入（控80）10%,440,内税,32,"",,,,2025/07/02,川口信金（法人）（API）,440
支出,,2025/07/01,,,支払手数料,課対仕入（控80）10%,220,内税,16,"",,,,2025/07/01,みずほ（法人）（API）,220
支出,,2025/06/30,,,支払手数料,課対仕入（控80）10%,440,内税,32,"",,,,2025/06/30,川口信金（法人）（API）,440
支出,,2025/06/30,,,支払手数料,課対仕入（控80）10%,440,内税,32,"",,,,2025/06/30,川口信金（法人）（API）,440
支出,,2025/06/28,,,支払手数料,課対仕入（控80）10%,220,内税,16,"",,,,2025/06/28,みずほ（法人）（API）,220
支出,,2025/06/25,,,支払手数料,課対仕入（控80）10%,440,内税,32,"",,,,2025/06/25,川口信金（法人）（API）,440
支出,,2025/06/23,,,支払手数料,課対仕入（控80）10%,220,内税,16,"",,,,2025/06/23,みずほ（法人）（API）,220
支出,,2025/06/17,,,支払手数料,課対仕入（控80）10%,440,内税,32,"",,,,2025/06/17,川口信金（法人）（API）,440
支出,,2025/06/12,,,支払手数料,課対仕入（控80）10%,220,内税,16,"",,,,2025/06/12,みずほ（法人）（API）,220
支出,,2025/06/11,,,支払手数料,課対仕入（控80）10%,440,内税,32,"",,,,2025/06/11,川口信金（法人）（API）,440
支出,,2025/06/06,,,支払手数料,課対仕入（控80）10%,270,内税,19,"",,,,2025/06/06,川口信金（法人）（API）,270
支出,,2025/06/06,,,仕入高,課対仕入（控80）10%,11418,内税,830,,,,,2025/06/06,freeeセゾンプラチナビジネスカード,11418
支出,,2025/06/05,,,支払手数料,課対仕入（控80）10%,110,内税,8,"",,,,2025/06/05,みずほ（法人）（API）,110
支出,,2025/06/04,,,支払手数料,課対仕入（控80）10%,440,内税,32,"",,,,2025/06/04,川口信金（法人）（API）,440
支出,,2025/06/04,,,仕入高,課対仕入（控80）10%,11352,内税,825,,,,,2025/06/04,freeeセゾンプラチナビジネスカード,11352
支出,,2025/06/04,,,仕入高,課対仕入（控80）10%,20154,内税,1465,,,,,2025/06/04,freeeセゾンプラチナビジネスカード,20154
支出,,2025/06/03,,,仕入高,課対仕入（控80）10%,7344,内税,534,,,,,2025/06/03,freeeセゾンプラチナビジネスカード,7344
支出,,2025/06/03,,,仕入高,課対仕入（控80）10%,20222,内税,1470,,,,,2025/06/03,freeeセゾンプラチナビジネスカード,20222
支出,,2025/06/02,,,仕入高,課対仕入（控80）10%,25825,内税,1878,,,,,2025/06/02,freeeセゾンプラチナビジネスカード,25825
支出,,2025/05/31,,,仕入高,課対仕入（控80）10%,7130,内税,518,,,,,2025/05/31,freeeセゾンプラチナビジネスカード,7130
支出,,2025/05/31,,,仕入高,課対仕入（控80）10%,33385,内税,2428,,,,,2025/05/31,freeeセゾンプラチナビジネスカード,33385
支出,,2025/05/30,,,支払手数料,課対仕入（控80）10%,270,内税,19,"",,,,2025/05/30,川口信金（法人）（API）,270
支出,,2025/05/30,,,支払手数料,課対仕入（控80）10%,440,内税,32,"",,,,2025/05/30,川口信金（法人）（API）,440
支出,,2025/05/30,,寿司銚子丸,交際費,課対仕入（控80）10%,6424,内税,467,"",,,,2025/05/30,現金,6424
支出,,2025/05/30,,,支払手数料,課対仕入（控80）10%,220,内税,16,"",,,,2025/05/30,みずほ（法人）（API）,220
支出,,2025/05/29,,,支払手数料,課対仕入（控80）10%,440,内税,32,"",,,,2025/05/29,川口信金（法人）（API）,440
支出,,2025/05/29,,,支払手数料,課対仕入（控80）10%,440,内税,32,"",,,,2025/05/29,川口信金（法人）（API）,440
