日付,表示回数
2025年10月20日(月),"5,762"
2025年10月21日(火),"8,717"
2025年10月22日(水),"8,296"
2025年10月23日(木),"3,780"
2025年10月24日(金),"3,412"
2025年10月25日(土),"9,892"
2025年10月26日(日),"10,551"
2025年10月27日(月),"7,794"
2025年10月28日(火),"11,325"
2025年10月29日(水),"6,624"
2025年10月30日(木),"4,664"
2025年10月31日(金),"9,106"
2025年11月1日(土),"6,486"
2025年11月2日(日),"17,908"
2025年11月3日(月),"11,061"
2025年11月4日(火),"8,713"
2025年11月5日(水),"12,354"
2025年11月6日(木),"7,747"
2025年11月7日(金),"8,718"
2025年11月8日(土),"7,856"
2025年11月9日(日),"6,703"
2025年11月10日(月),"6,503"
2025年11月11日(火),"10,155"
2025年11月12日(水),"9,754"
2025年11月13日(木),"3,271"
2025年11月14日(金),"7,246"
2025年11月15日(土),"2,508"
2025年11月16日(日),"3,502"
2025年11月17日(月),"6,802"
2025年11月18日(火),"3,152"
