検索語句レポート
2025年10月20日 - 2025年11月18日
検索語句,マッチタイプ,追加済み / 除外済み,キャンペーン,広告グループ,表示回数,インタラクション,インタラクション率,通貨コード,平均費用,費用,キャンペーン タイプ
リフォーム 会社 埼玉,完全一致,なし,Search-1,Search-1 - 動的広告グループ,2,0,0.00%,JPY,0,0,検索
工務 店 越谷,インテント マッチ,なし,Search-1,広告グループ 1 個,2,0,0.00%,JPY,0,0,検索
秀 建,インテント マッチ,なし,Search-1,広告グループ 1 個,2,0,0.00%,JPY,0,0,検索
フィ ルージュ 浦和 常盤,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
近く の リフォーム 会社,完全一致,なし,Search-1,Search-1 - 動的広告グループ,5,0,0.00%,JPY,0,0,検索
浦和 外壁 塗装,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,0,0.00%,JPY,0,0,検索
埼玉 建設,インテント マッチ,なし,Search-1,広告グループ 1 個,3,0,0.00%,JPY,0,0,検索
関 工務 店 さいたま 市,フレーズ一致（類似パターン）,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
北本 リフォーム,インテント マッチ,なし,Search-1,広告グループ 1 個,2,0,0.00%,JPY,0,0,検索
浦和 井沼 方 住宅,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
トヨタ ホーム 浦和 展示 場,インテント マッチ,なし,Search-1,広告グループ 1 個,3,3,100.00%,JPY,24,73,検索
桧 家 住宅 浦和 美園,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
浦和 住宅 公園 モデル ハウス,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
泉屋 工務 店 さいたま 市,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
埼玉 解体 屋,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,0,0.00%,JPY,0,0,検索
イオス ホーム,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
トーヨー ホーム,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
トヨタ ホーム 東京 北浦 和,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
建築,インテント マッチ,なし,Search-1,広告グループ 1 個,18,0,0.00%,JPY,0,0,検索
熊谷 ハウジング ステージ,フレーズ一致（類似パターン）,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
デザイン ハウス エフ,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
会 澤 工務 店 越谷,フレーズ一致（類似パターン）,なし,Search-1,広告グループ 1 個,2,0,0.00%,JPY,0,0,検索
創建 東浦 和,フレーズ一致（類似パターン）,なし,Search-1,広告グループ 1 個,2,0,0.00%,JPY,0,0,検索
近く の 一条 工務 店,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
ポラテック 本社,インテント マッチ,なし,Search-1,広告グループ 1 個,2,0,0.00%,JPY,0,0,検索
有 匠 建設,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
野沢 工務 店,完全一致,なし,Search-1,Search-1 - 動的広告グループ,2,1,50.00%,JPY,99,99,検索
黒沢 工務 店 埼玉,フレーズ一致（類似パターン）,なし,Search-1,広告グループ 1 個,1,1,100.00%,JPY,296,296,検索
一条 工務 店 川口 展示 場,インテント マッチ,なし,Search-1,広告グループ 1 個,3,0,0.00%,JPY,0,0,検索
川口 市 工務 店,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,0,0.00%,JPY,0,0,検索
渋沢 工務 店,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
グローリオ 浦和 元町,フレーズ一致（類似パターン）,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
プチ リフォーム,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,0,0.00%,JPY,0,0,検索
森 工務 店 埼玉,インテント マッチ,なし,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
さいたま 市 見沼 区 工務 店,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,0,0.00%,JPY,0,0,検索
上尾 市 工務 店,完全一致,追加済み,Search-1,広告グループ 1 個,1,0,0.00%,JPY,0,0,検索
トイレ リフォーム さいたま 市,完全一致,なし,Search-1,Search-1 - 動的広告グループ,10,0,0.00%,JPY,0,0,検索
リホーム,完全一致,なし,Search-1,Search-1 - 動的広告グループ,1,0,0.00%,JPY,0,0,検索
