配信設定,広告グループ名,日,配信状況,キャンペーン名,キャンペーンタイプ,入札戦略,広告グループ入札価格,インプレッション数,クリック数,クリック率,コスト,平均CPC,コンバージョン数,コンバージョン率,コスト/コンバージョン数,コンバージョンの価値,コンバージョンの価値/コンバージョン数,コンバージョンの価値/コスト,ラベル
合計（削除済みを含む全ての合計）,,,,,,,,2613,41,1.57,9071,221,0,0.00,0,0,0,0,
合計,,,,,,,,2613,41,1.57,9071,221,0,0.00,0,0,0,0,
オン,SEO対策,小計（日）,有効,WEBマーケティング,標準,個別クリック単価,300,2613,41,1.57,9071,221,0,0.00,0,0,0,0,
オン,SEO対策,2025-10-20,有効,WEBマーケティング,標準,個別クリック単価,300,169,1,0.59,277,277,0,0.00,0,0,0,0,
オン,SEO対策,2025-10-21,有効,WEBマーケティング,標準,個別クリック単価,300,64,1,1.56,296,296,0,0.00,0,0,0,0,
オン,SEO対策,2025-10-22,有効,WEBマーケティング,標準,個別クリック単価,300,59,2,3.39,320,160,0,0.00,0,0,0,0,
オン,SEO対策,2025-10-23,有効,WEBマーケティング,標準,個別クリック単価,300,25,1,4.00,294,294,0,0.00,0,0,0,0,
オン,SEO対策,2025-10-24,有効,WEBマーケティング,標準,個別クリック単価,300,386,2,0.52,341,171,0,0.00,0,0,0,0,
オン,SEO対策,2025-10-25,有効,WEBマーケティング,標準,個別クリック単価,300,121,1,0.83,296,296,0,0.00,0,0,0,0,
オン,SEO対策,2025-10-26,有効,WEBマーケティング,標準,個別クリック単価,300,95,1,1.05,285,285,0,0.00,0,0,0,0,
オン,SEO対策,2025-10-27,有効,WEBマーケティング,標準,個別クリック単価,300,56,2,3.57,304,152,0,0.00,0,0,0,0,
オン,SEO対策,2025-10-28,有効,WEBマーケティング,標準,個別クリック単価,300,82,1,1.22,276,276,0,0.00,0,0,0,0,
オン,SEO対策,2025-10-29,有効,WEBマーケティング,標準,個別クリック単価,300,41,1,2.44,279,279,0,0.00,0,0,0,0,
オン,SEO対策,2025-10-30,有効,WEBマーケティング,標準,個別クリック単価,300,130,1,0.77,239,239,0,0.00,0,0,0,0,
オン,SEO対策,2025-10-31,有効,WEBマーケティング,標準,個別クリック単価,300,169,1,0.59,123,123,0,0.00,0,0,0,0,
オン,SEO対策,2025-11-01,有効,WEBマーケティング,標準,個別クリック単価,300,77,2,2.60,417,209,0,0.00,0,0,0,0,
オン,SEO対策,2025-11-02,有効,WEBマーケティング,標準,個別クリック単価,300,146,2,1.37,404,202,0,0.00,0,0,0,0,
オン,SEO対策,2025-11-03,有効,WEBマーケティング,標準,個別クリック単価,300,101,2,1.98,398,199,0,0.00,0,0,0,0,
オン,SEO対策,2025-11-04,有効,WEBマーケティング,標準,個別クリック単価,300,71,2,2.82,359,180,0,0.00,0,0,0,0,
オン,SEO対策,2025-11-05,有効,WEBマーケティング,標準,個別クリック単価,300,1,1,100.00,294,294,0,0.00,0,0,0,0,
オン,SEO対策,2025-11-06,有効,WEBマーケティング,標準,個別クリック単価,300,51,3,5.88,305,102,0,0.00,0,0,0,0,
オン,SEO対策,2025-11-07,有効,WEBマーケティング,標準,個別クリック単価,300,2,1,50.00,293,293,0,0.00,0,0,0,0,
オン,SEO対策,2025-11-08,有効,WEBマーケティング,標準,個別クリック単価,300,21,1,4.76,297,297,0,0.00,0,0,0,0,
オン,SEO対策,2025-11-09,有効,WEBマーケティング,標準,個別クリック単価,300,6,1,16.67,252,252,0,0.00,0,0,0,0,
オン,SEO対策,2025-11-10,有効,WEBマーケティング,標準,個別クリック単価,300,268,2,0.75,386,193,0,0.00,0,0,0,0,
オン,SEO対策,2025-11-11,有効,WEBマーケティング,標準,個別クリック単価,300,31,1,3.23,267,267,0,0.00,0,0,0,0,
オン,SEO対策,2025-11-12,有効,WEBマーケティング,標準,個別クリック単価,300,23,2,8.70,335,168,0,0.00,0,0,0,0,
オン,SEO対策,2025-11-13,有効,WEBマーケティング,標準,個別クリック単価,300,9,1,11.11,282,282,0,0.00,0,0,0,0,
オン,SEO対策,2025-11-14,有効,WEBマーケティング,標準,個別クリック単価,300,5,2,40.00,577,289,0,0.00,0,0,0,0,
オン,SEO対策,2025-11-16,有効,WEBマーケティング,標準,個別クリック単価,300,262,1,0.38,287,287,0,0.00,0,0,0,0,
オン,SEO対策,2025-11-17,有効,WEBマーケティング,標準,個別クリック単価,300,37,1,2.70,288,288,0,0.00,0,0,0,0,
オン,SEO対策,2025-11-18,有効,WEBマーケティング,標準,個別クリック単価,300,105,1,0.95,300,300,0,0.00,0,0,0,0,
