レポート開始日,レポート終了日,広告の名前,時間帯(広告アカウントの時間帯),広告の配信,広告セット名,入札,入札タイプ,広告セットの予算,広告セットの予算タイプ,前回の大きな変更,アトリビューション設定,結果,結果インジケーター,リーチ,インプレッション,結果の単価,品質ランキング,エンゲージメント率ランキング,コンバージョン率ランキング,"消化金額 (JPY)",終了日時,"CPC(リンククリックの単価) (JPY)",結果のROAS,結果ROASインジケーター,CTR(リンククリックスルー率),CTR(すべて),"CPC(すべて) (JPY)",広告の目的,リンクのクリック,クリック(すべて),"アウトバウンドCTR (クリック率)","ユニークアウトバウンドCTR (クリック率)",寄付のROAS(広告費用対効果),購入ROAS(広告費用対効果),"CPM(インプレッション単価) (JPY)",フリークエンシー,購入,広告セットID,動画再生数,写真表示数,actions:onsite_conversion.messaging_welcome_message_view,インスタントエクスペリエンスを開いたクリック数,インスタントエクスペリエンスを開始したクリック数,インスタントエクスペリエンスのアウトバウンドクリック数,shop_clicks
2025-10-26,2025-11-24,,,0,,0,0,0,0,0,複数アトリビューション設定,,,49939,111873,,―,―,―,379270,,,,,,1.701036,199.301104,複数,,1903,,,,,3390.183512,2.240193,,0,,,,0,0,,
2025-10-26,2025-11-24,◯【トラフィック】ダイナミックカルーセル,"00:00:00 - 00:59:59",active,【トラフィック】D②_180除外_住宅,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2025-09-13T10:13:10+0900,クリックから7日間、または表示から1日間,45,actions:omni_landing_page_view,0,2623,33.28888889,―,―,―,1498,継続,40.486486,,,1.410599,1.715593,33.288889,トラフィック,37,45,1.410599,,,,571.101792,0,,120230036161350231,,,,0,0,,
2025-10-26,2025-11-24,【CV】アクセス＋類似　ダイナミック,"00:00:00 - 00:59:59",active,webアクセス＋類似,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2025-09-13T10:15:40+0900,クリックから7日間、または表示から1日間,,,0,1458,,―,―,―,10578,継続,755.571429,,,0.960219,2.1262,341.225806,売上,14,31,0.960219,,,,7255.144033,0,,120230037551620231,,,,0,0,,
2025-10-26,2025-11-24,【類似+ｱｸｾｽ+予約除外】常時OPEN,"00:00:00 - 00:59:59",active,【webアクセス＋類似+予約除外】常時OPENHOUSE,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2025-08-22T15:32:35+0900,クリックから7日間、または表示から1日間,1,actions:offsite_conversion.fb_pixel_purchase,0,476,2440,―,―,―,2440,継続,813.333333,,,0.630252,1.470588,348.571429,売上,3,7,0.630252,,,,5126.05042,0,1,120230039246260231,,,,0,0,,
2025-10-26,2025-11-24,◯【トラフィック】ダイナミックカルーセル,"01:00:00 - 01:59:59",active,【トラフィック】D②_180除外_住宅,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2025-09-13T10:13:10+0900,クリックから7日間、または表示から1日間,17,actions:omni_landing_page_view,0,1419,48.58823529,―,―,―,826,継続,48.588235,,,1.198027,1.62086,35.913043,トラフィック,17,23,1.198027,,,,582.10007,0,,120230036161350231,,,,0,0,,
2025-10-26,2025-11-24,【CV】アクセス＋類似　ダイナミック,"01:00:00 - 01:59:59",active,webアクセス＋類似,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2025-09-13T10:15:40+0900,クリックから7日間、または表示から1日間,,,0,727,,―,―,―,5367,継続,596.333333,,,1.237964,1.925722,383.357143,売上,9,14,1.237964,,,,7382.393398,0,,120230037551620231,,,,0,0,,
2025-10-26,2025-11-24,【類似+ｱｸｾｽ+予約除外】常時OPEN,"01:00:00 - 01:59:59",active,【webアクセス＋類似+予約除外】常時OPENHOUSE,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2025-08-22T15:32:35+0900,クリックから7日間、または表示から1日間,,,0,190,,―,―,―,694,継続,173.5,,,2.105263,2.631579,138.8,売上,4,5,2.105263,,,,3652.631579,0,,120230039246260231,,,,0,0,,
2025-10-26,2025-11-24,◯【トラフィック】ダイナミックカルーセル,"02:00:00 - 02:59:59",active,【トラフィック】D②_180除外_住宅,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2025-09-13T10:13:10+0900,クリックから7日間、または表示から1日間,10,actions:omni_landing_page_view,0,781,47.5,―,―,―,475,継続,47.5,,,1.28041,1.408451,43.181818,トラフィック,10,11,1.28041,,,,608.194622,0,,120230036161350231,,,,0,0,,
2025-10-26,2025-11-24,【CV】アクセス＋類似　ダイナミック,"02:00:00 - 02:59:59",active,webアクセス＋類似,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2025-09-13T10:15:40+0900,クリックから7日間、または表示から1日間,,,0,419,,―,―,―,3445,継続,313.181818,,,2.625298,3.102625,265,売上,11,13,2.625298,,,,8221.957041,0,,120230037551620231,,,,0,0,,
2025-10-26,2025-11-24,【類似+ｱｸｾｽ+予約除外】常時OPEN,"02:00:00 - 02:59:59",active,【webアクセス＋類似+予約除外】常時OPENHOUSE,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2025-08-22T15:32:35+0900,クリックから7日間、または表示から1日間,,,0,132,,―,―,―,537,継続,179,,,2.272727,3.030303,134.25,売上,3,4,2.272727,,,,4068.181818,0,,120230039246260231,,,,0,0,,
2025-10-26,2025-11-24,◯【トラフィック】ダイナミックカルーセル,"03:00:00 - 03:59:59",active,【トラフィック】D②_180除外_住宅,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2025-09-13T10:13:10+0900,クリックから7日間、または表示から1日間,7,actions:omni_landing_page_view,0,588,44.42857143,―,―,―,311,継続,38.875,,,1.360544,1.70068,31.1,トラフィック,8,10,1.360544,,,,528.911565,0,,120230036161350231,,,,0,0,,
2025-10-26,2025-11-24,【CV】アクセス＋類似　ダイナミック,"03:00:00 - 03:59:59",active,webアクセス＋類似,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2025-09-13T10:15:40+0900,クリックから7日間、または表示から1日間,,,0,283,,―,―,―,1713,継続,285.5,,,2.120141,3.533569,171.3,売上,6,10,2.120141,,,,6053.003534,0,,120230037551620231,,,,0,0,,
2025-10-26,2025-11-24,【類似+ｱｸｾｽ+予約除外】常時OPEN,"03:00:00 - 03:59:59",active,【webアクセス＋類似+予約除外】常時OPENHOUSE,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2025-08-22T15:32:35+0900,クリックから7日間、または表示から1日間,,,0,120,,―,―,―,251,継続,125.5,,,1.666667,1.666667,125.5,売上,2,2,1.666667,,,,2091.666667,0,,120230039246260231,,,,0,0,,
2025-10-26,2025-11-24,◯【トラフィック】ダイナミックカルーセル,"04:00:00 - 04:59:59",active,【トラフィック】D②_180除外_住宅,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2025-09-13T10:13:10+0900,クリックから7日間、または表示から1日間,6,actions:omni_landing_page_view,0,462,40,―,―,―,240,継続,60,,,0.865801,1.082251,48,トラフィック,4,5,0.865801,,,,519.480519,0,,120230036161350231,,,,0,0,,
2025-10-26,2025-11-24,【CV】アクセス＋類似　ダイナミック,"04:00:00 - 04:59:59",active,webアクセス＋類似,0,ABSOLUTE_OCPM,キャンペーン予算を使用,0,2025-09-13T10:15:40+0900,クリックから7日間、または表示から1日間,,,0,268,,―,―,―,3053,継続,1526.5,,,0.746269,2.61194,436.142857,売上,2,7,0.746269,,,,11391.791045,0,,120230037551620231,,,,0,0,,
