日付,クリック数,表示回数,CTR,掲載順位
2025-11-20,50,2169,2.31%,14.67
2025-11-19,47,1825,2.58%,12.9
2025-11-18,46,1971,2.33%,15.11
2025-11-17,63,1885,3.34%,11.83
2025-11-16,66,2082,3.17%,13.15
2025-11-15,46,3453,1.33%,17.38
2025-11-14,36,2135,1.69%,16
2025-11-13,57,2690,2.12%,16.46
2025-11-12,45,1842,2.44%,12.13
2025-11-11,63,4078,1.54%,15.86
2025-11-10,78,1930,4.04%,11.69
2025-11-09,47,1865,2.52%,12.53
2025-11-08,45,1768,2.55%,14.77
2025-11-07,34,2378,1.43%,15.71
2025-11-06,55,2511,2.19%,15.12
2025-11-05,43,1826,2.35%,14.78
2025-11-04,51,1971,2.59%,15.22
2025-11-03,52,3557,1.46%,17.31
2025-11-02,44,1889,2.33%,13.97
2025-11-01,44,2298,1.91%,16.67
2025-10-31,28,1455,1.92%,13.98
2025-10-30,49,2111,2.32%,16.26
2025-10-29,57,1640,3.48%,13.36
2025-10-28,53,1839,2.88%,14.4
2025-10-27,40,1558,2.57%,11.92
2025-10-26,52,1459,3.56%,14
2025-10-25,49,2305,2.13%,18.37
2025-10-24,64,3500,1.83%,17.41
