# ----------------------------------------
# トラフィック獲得: セッションの参照元 / メディア
# アカウント: kurosawabuilders
# プロパティ: 株式会社 黒澤工務店 ウェブサイト - GA4
# ----------------------------------------
# 
# すべてのユーザー
# 開始日: 20251022
# 終了日: 20251118
セッションのメディア,セッション,エンゲージのあったセッション数,エンゲージメント率,セッションあたりの平均エンゲージメント時間,セッションあたりのイベント数,イベント数,キーイベント,セッション キーイベント率,合計収益
organic,2107,1465,0.6953013763644993,90.0531561461794,9.448030374940673,19907,41,0.018984337921214997,0
(none),1737,612,0.35233160621761656,40.58376511226252,5.15601611974669,8956,99,0.05296488198042602,0
referral,1211,391,0.3228736581337737,17.355078447563997,4.554087530966144,5515,3,0.0016515276630883566,0
cpc,1064,316,0.29699248120300753,21.668233082706767,4.280075187969925,4554,15,0.009398496240601503,0
Facebook_Instagram,560,68,0.12142857142857143,4.1375,3.45,1932,0,0,0
paid,396,130,0.3282828282828283,22.37878787878788,4.4646464646464645,1768,6,0.012626262626262626,0
2024.06.01~スタート,190,61,0.32105263157894737,8.868421052631579,3.9105263157894736,743,1,0.005263157894736842,0
(data not available),31,11,0.3548387096774194,7.193548387096774,4.096774193548387,127,0,0,0
(not set),19,7,0.3684210526315789,536.2105263157895,27.789473684210527,528,3,0.10526315789473684,0
social,1,1,1,137,18,18,0,0,0
