# ----------------------------------------
# ページとスクリーン: ページパスとスクリーン クラス
# アカウント: kurosawabuilders
# プロパティ: 株式会社 黒澤工務店 ウェブサイト - GA4
# ----------------------------------------
# 
# すべてのユーザー
# 開始日: 20251022
# 終了日: 20251118
ページ タイトルとスクリーン クラス,表示回数,アクティブ ユーザー,アクティブ ユーザーあたりのビュー,キーイベント,直帰率,平均セッション継続時間,セッション キーイベント率
さいたま市で注文住宅・マイホームなら「黒澤工務店」,5260,3735,1.4082998661311914,30,0.5798627002288329,53.41328430572082,0.004347826086956522
お問い合わせ |さいたま市でおしゃれな注文住宅なら「黒澤工務店」,615,424,1.4504716981132075,20,0.3887733887733888,69.41476582536383,0.04158004158004158
会社概要|さいたま市・戸田市・蕨市で工務店といえば「黒澤工務店」,554,412,1.3446601941747574,1,0.1839323467230444,101.32394773361523,0.0021141649048625794
施工事例（新築） | 黒澤工務店,546,276,1.9782608695652173,0,0.09207161125319693,67.39503805115089,0
黒澤工務店の家づくり | さいたま市でおしゃれな注文住宅なら「黒澤工務店」,441,105,4.2,0,0.152,49.35393604,0
期間限定OPEN HOUSE ｜埼玉で注文住宅の完成見学会なら「黒澤工務店」,415,269,1.5427509293680297,1,0.673352435530086,107.4474956790831,0.0028653295128939827
総合展示場|さいたま市で住宅展示場なら「黒澤工務店」,380,254,1.4960629921259843,2,0.2636363636363636,99.02877233636364,0.0030303030303030303
資料請求 | さいたま市でマイホームを建てるならデザイン住宅の「黒澤工務店」,356,258,1.37984496124031,2,0.6223776223776224,69.22134281818181,0.006993006993006993
黒澤工務店の差別化賃貸アパート「PRIMA（プリマ）」,269,212,1.2688679245283019,0,0.6032388663967612,67.94695034817813,0
ブログ,246,114,2.1578947368421053,0,0.13114754098360656,48.949,0
商品①コンフォート|さいたま市で一戸建てを建てるなら「黒澤工務店」,229,169,1.3550295857988166,0,0.08585858585858586,74.91468934848486,0
施工事例（新築） | 黒澤工務店 - 2ページめ,226,132,1.7121212121212122,0,0.024691358024691357,61.32940737654321,0
新モデルハウス GRAND OPEN ｜さいたま市でリゾートライクなモデルハウスを見学するなら「黒澤工務店」,224,166,1.3493975903614457,0,0.576530612244898,64.29579441836734,0
ご予約 | さいたま市・戸田市で注文住宅が得意な工務店は「黒澤工務店」,219,134,1.6343283582089552,3,0.17791411042944785,62.81687745398772,0.018404907975460124
